reaction	EC	subsystem	kcat
3OAS140	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS141	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS160	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS161	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS180	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS181	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS60	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS80	2.3.1.41	Cell Envelope Biosynthesis	NaN
42A12BOOXpp	1.4.3.21	Nitrogen Metabolism	NaN
5DGLCNR	1.1.1.69	Alternate Carbon Metabolism	NaN
A5PISO	5.3.1.13	Alternate Carbon Metabolism	NaN
AACPS1	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS2	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS3	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS4	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS5	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS6	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS7	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS8	6.2.1.20	Cell Envelope Biosynthesis	NaN
AACPS9	6.2.1.20	Cell Envelope Biosynthesis	NaN
AB6PGH	3.2.1.86	Alternate Carbon Metabolism	NaN
ABTA	2.6.1.19	Arginine and Proline Metabolism	NaN
ABUTD	1.2.1.19	Arginine and Proline Metabolism	NaN
ACACT1r	2.3.1.9	Membrane Lipid Metabolism	NaN
ACACT2r	2.3.1.16	Membrane Lipid Metabolism	NaN
ACACT3r	2.3.1.16	Membrane Lipid Metabolism	NaN
ACACT4r	2.3.1.16	Membrane Lipid Metabolism	NaN
ACACT5r	2.3.1.16	Membrane Lipid Metabolism	NaN
ACACT6r	2.3.1.16	Membrane Lipid Metabolism	NaN
ACACT7r	2.3.1.16	Membrane Lipid Metabolism	NaN
ACACT8r	2.3.1.16	Membrane Lipid Metabolism	NaN
ACALD	1.2.1.10	Pyruvate Metabolism	NaN
ACANTHAT	2.3.1.118	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
ACCOAC	6.4.1.2	Membrane Lipid Metabolism	NaN
ACCOAL	6.2.1.13	Alternate Carbon Metabolism	NaN
ACGAL1PPpp	3.1.3.10	Alternate Carbon Metabolism	NaN
ACGAM1PPpp	3.1.3.10	Alternate Carbon Metabolism	NaN
ACGAMK	2.7.1.59	Murein Recycling	NaN
ACGK	2.7.2.8	Arginine and Proline Metabolism	NaN
ACGS	2.3.1.1	Arginine and Proline Metabolism	NaN
ACKr	2.7.2.1	Pyruvate Metabolism	NaN
ACLS	4.1.3.18	Valine, Leucine, and Isoleucine Metabolism	NaN
ACNML	4.1.3.3	Alternate Carbon Metabolism	NaN
ACOAD1f	1.3.99.2	Membrane Lipid Metabolism	NaN
ACOAD2f	1.3.99.3	Membrane Lipid Metabolism	NaN
ACOAD3f	1.3.99.3	Membrane Lipid Metabolism	NaN
ACOAD4f	1.3.99.3	Membrane Lipid Metabolism	NaN
ACOAD5f	1.3.99.3	Membrane Lipid Metabolism	NaN
ACOAD6f	1.3.99.3	Membrane Lipid Metabolism	NaN
ACOAD7f	1.3.99.3	Membrane Lipid Metabolism	NaN
ACOAD8f	1.3.99.3	Membrane Lipid Metabolism	NaN
ACOATA	2.3.1.38	Membrane Lipid Metabolism	NaN
ACODA	3.5.1.16	Arginine and Proline Metabolism	NaN
ACONIs	5.3.3.7	Unassigned	NaN
ACONTa	4.2.1.3	Citric Acid Cycle	NaN
ACONTb	4.2.1.3	Citric Acid Cycle	NaN
ACOTA	2.6.1.11	Arginine and Proline Metabolism	NaN
ACPS1	2.7.8.7	Cofactor and Prosthetic Group Biosynthesis	NaN
ACS	6.2.1.1	Pyruvate Metabolism	NaN
ADA	3.5.4.4	Nucleotide Salvage Pathway	NaN
ADCS	2.6.1.85	Cofactor and Prosthetic Group Biosynthesis	NaN
ADD	3.5.4.2	Nucleotide Salvage Pathway	NaN
ADK1	2.7.4.3	Nucleotide Salvage Pathway	NaN
ADMDC	4.1.1.50	Arginine and Proline Metabolism	NaN
ADNCYC	4.6.1.1	Nucleotide Salvage Pathway	NaN
ADNK1	2.7.1.20	Nucleotide Salvage Pathway	NaN
ADNUC	3.2.2.8	Alternate Carbon Metabolism	NaN
ADPRDP	3.6.1.13	Nucleotide Salvage Pathway	NaN
ADPT	2.4.2.7	Nucleotide Salvage Pathway	NaN
ADSK	2.7.1.25	Cysteine Metabolism	NaN
ADSL1r	4.3.2.2	Purine and Pyrimidine Biosynthesis	NaN
ADSL2r	4.3.2.2	Purine and Pyrimidine Biosynthesis	NaN
ADSS	6.3.4.4	Purine and Pyrimidine Biosynthesis	NaN
AGDC	3.5.1.25	Alternate Carbon Metabolism	NaN
AGMHE	5.1.3.20	Lipopolysaccharide Biosynthesis / Recycling	NaN
AGMT	3.5.3.11	Arginine and Proline Metabolism	NaN
AGPAT120	2.3.1.51	Glycerophospholipid Metabolism	NaN
AGPAT140	2.3.1.51	Glycerophospholipid Metabolism	NaN
AGPAT141	2.3.1.51	Glycerophospholipid Metabolism	NaN
AGPAT160	2.3.1.51	Glycerophospholipid Metabolism	NaN
AGPAT161	2.3.1.51	Glycerophospholipid Metabolism	NaN
AGPAT180	2.3.1.51	Glycerophospholipid Metabolism	NaN
AGPAT181	2.3.1.51	Glycerophospholipid Metabolism	NaN
AGPR	1.2.1.38	Arginine and Proline Metabolism	NaN
AHCYSNS	3.2.2.9	Methionine Metabolism	NaN
AICART	2.1.2.3	Purine and Pyrimidine Biosynthesis	NaN
AIRC3	5.4.99.18	Purine and Pyrimidine Biosynthesis	NaN
ALAALAD	3.4.17.14	Murein Recycling	NaN
ALAALAr	6.3.2.4	Cell Envelope Biosynthesis	NaN
ALAR	5.1.1.1	Alanine and Aspartate Metabolism	1
ALATA_L	2.6.1.2	Alanine and Aspartate Metabolism	NaN
ALATRS	6.1.1.7	tRNA Charging	NaN
ALCD19	1.1.1.1	Alternate Carbon Metabolism	1
ALCD2x	1.1.1.1	Pyruvate Metabolism	1
ALDD19xr	1.2.1.39	Alternate Carbon Metabolism	NaN
ALDD2x	1.2.1.3	Alternate Carbon Metabolism	NaN
ALDD2y	1.2.1.4	Alternate Carbon Metabolism	NaN
ALLTAMH	3.5.3.9	Alternate Carbon Metabolism	NaN
ALLTN	3.5.2.5	Nitrogen Metabolism	NaN
ALTRH	4.2.1.7	Alternate Carbon Metabolism	NaN
AMALT1	2.4.1.25	Alternate Carbon Metabolism	NaN
AMALT2	2.4.1.25	Alternate Carbon Metabolism	NaN
AMALT3	2.4.1.25	Alternate Carbon Metabolism	NaN
AMALT4	2.4.1.25	Alternate Carbon Metabolism	NaN
AMANK	2.7.1.60	Alternate Carbon Metabolism	NaN
AMAOTr	2.6.1.62	Cofactor and Prosthetic Group Biosynthesis	NaN
AMPN	3.2.2.4	Nucleotide Salvage Pathway	NaN
AMPTASECG	3.4.11.2	Cysteine Metabolism	NaN
AMPTASEPG	3.4.11.2	Arginine and Proline Metabolism	NaN
ANPRT	2.4.2.18	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
ANS	4.1.3.27	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
AOXSr2	2.3.1.47	Cofactor and Prosthetic Group Biosynthesis	NaN
AP4AH	3.6.1.41	Nucleotide Salvage Pathway	NaN
APCS	2.5.1.16	Arginine and Proline Metabolism	NaN
APH120	3.6.1.7	Glycerophospholipid Metabolism	NaN
APH140	3.6.1.7	Glycerophospholipid Metabolism	NaN
APH141	3.6.1.7	Glycerophospholipid Metabolism	NaN
APH160	3.6.1.7	Glycerophospholipid Metabolism	NaN
APH161	3.6.1.7	Glycerophospholipid Metabolism	NaN
APH180	3.6.1.7	Glycerophospholipid Metabolism	NaN
APH181	3.6.1.7	Glycerophospholipid Metabolism	NaN
APPLDHr	1.1.1.75	Threonine and Lysine Metabolism	NaN
APRAUR	1.1.1.193	Cofactor and Prosthetic Group Biosynthesis	NaN
ARAI	5.3.1.4	Alternate Carbon Metabolism	NaN
ARGDC	4.1.1.19	Arginine and Proline Metabolism	NaN
ARGDCpp	4.1.1.19	Arginine and Proline Metabolism	NaN
ARGSL	4.3.2.1	Arginine and Proline Metabolism	NaN
ARGSS	6.3.4.5	Arginine and Proline Metabolism	NaN
ARGTRS	6.1.1.19	tRNA Charging	NaN
ASAD	1.2.1.11	Threonine and Lysine Metabolism	NaN
ASNN	3.5.1.1	Alanine and Aspartate Metabolism	NaN
ASNNpp	3.5.1.1	Alanine and Aspartate Metabolism	NaN
ASNS1	6.3.5.4	Alanine and Aspartate Metabolism	NaN
ASNS2	6.3.1.1	Alanine and Aspartate Metabolism	NaN
ASNTRS	6.1.1.22	tRNA Charging	NaN
ASP1DC	4.1.1.11	Cofactor and Prosthetic Group Biosynthesis	NaN
ASPCT	2.1.3.2	Purine and Pyrimidine Biosynthesis	NaN
ASPK	2.7.2.4	Threonine and Lysine Metabolism	NaN
ASPO3	1.4.3.16	Cofactor and Prosthetic Group Biosynthesis	NaN
ASPO4	1.4.3.16	Cofactor and Prosthetic Group Biosynthesis	NaN
ASPO5	1.4.3.16	Cofactor and Prosthetic Group Biosynthesis	NaN
ASPT	4.3.1.1	Alanine and Aspartate Metabolism	NaN
ASPTA	2.6.1.1	Alanine and Aspartate Metabolism	NaN
ASPTRS	6.1.1.12	tRNA Charging	NaN
AST	2.3.1.109	Arginine and Proline Metabolism	NaN
ATPPRT	2.4.2.17	Histidine Metabolism	NaN
ATPS4rpp	3.6.3.14	Oxidative Phosphorylation	NaN
BETALDHx	1.2.1.8	Unassigned	NaN
BETALDHy	1.2.1.8	Unassigned	NaN
BPNT	3.1.3.7	Cysteine Metabolism	NaN
BTS5	2.8.1.6	Cofactor and Prosthetic Group Biosynthesis	NaN
BUTCT	2.8.3.8	Alternate Carbon Metabolism	NaN
CAT	1.11.1.6	Unassigned	NaN
CBIAT	2.5.1.17	Cofactor and Prosthetic Group Biosynthesis	NaN
CBLAT	2.5.1.17	Cofactor and Prosthetic Group Biosynthesis	NaN
CBMKr	2.7.2.2	Unassigned	NaN
CBPS	6.3.5.5	Arginine and Proline Metabolism	NaN
CDAPPA120	3.6.1.26	Glycerophospholipid Metabolism	NaN
CDAPPA140	3.6.1.26	Glycerophospholipid Metabolism	NaN
CDAPPA141	3.6.1.26	Glycerophospholipid Metabolism	NaN
CDAPPA160	3.6.1.26	Glycerophospholipid Metabolism	NaN
CDAPPA161	3.6.1.26	Glycerophospholipid Metabolism	NaN
CDAPPA180	3.6.1.26	Glycerophospholipid Metabolism	NaN
CDAPPA181	3.6.1.26	Glycerophospholipid Metabolism	NaN
CDGR	1.7.1.13	Cofactor and Prosthetic Group Biosynthesis	NaN
CFAS160E	2.1.1.79	Glycerophospholipid Metabolism	NaN
CFAS160G	2.1.1.79	Glycerophospholipid Metabolism	NaN
CFAS180E	2.1.1.79	Glycerophospholipid Metabolism	NaN
CFAS180G	2.1.1.79	Glycerophospholipid Metabolism	NaN
CHOLD	1.1.99.1	Unassigned	NaN
CHORM	5.4.99.5	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
CHORS	4.2.3.5	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
CHRPL	4.1.3.40	Cofactor and Prosthetic Group Biosynthesis	NaN
CITL	4.1.3.6	Citric Acid Cycle	NaN
CMPN	3.2.2.10	Nucleotide Salvage Pathway	NaN
CPPPGO	1.3.3.3	Cofactor and Prosthetic Group Biosynthesis	1
CSND	3.5.4.1	Nucleotide Salvage Pathway	NaN
CTECOAI6	5.3.3.8	Membrane Lipid Metabolism	NaN
CTECOAI7	5.3.3.8	Membrane Lipid Metabolism	NaN
CTECOAI8	5.3.3.8	Membrane Lipid Metabolism	NaN
CTPS2	6.3.4.2	Purine and Pyrimidine Biosynthesis	NaN
CYANST	2.8.1.1	Unassigned	NaN
CYANSTpp	2.8.1.1	Inorganic Ion Transport and Metabolism	NaN
CYSDDS	4.4.1.15	Cysteine Metabolism	NaN
CYSDS	4.1.99.1	Cysteine Metabolism	NaN
CYSS	2.5.1.47	Cysteine Metabolism	NaN
CYSSADS	4.1.1.12	Cysteine Metabolism	NaN
CYSTL	4.4.1.8	Methionine Metabolism	NaN
CYSTRS	6.1.1.16	tRNA Charging	NaN
CYTD	3.5.4.5	Nucleotide Salvage Pathway	NaN
CYTDH	3.2.2.8	Alternate Carbon Metabolism	NaN
CYTK1	2.7.4.14	Nucleotide Salvage Pathway	NaN
CYTK2	2.7.4.14	Nucleotide Salvage Pathway	NaN
DAAD	1.4.99.1	Alanine and Aspartate Metabolism	NaN
DADK	2.7.4.11	Nucleotide Salvage Pathway	NaN
DAGK120	2.7.1.107	Glycerophospholipid Metabolism	NaN
DAGK140	2.7.1.107	Glycerophospholipid Metabolism	NaN
DAGK141	2.7.1.107	Glycerophospholipid Metabolism	NaN
DAGK160	2.7.1.107	Glycerophospholipid Metabolism	NaN
DAGK161	2.7.1.107	Glycerophospholipid Metabolism	NaN
DAGK180	2.7.1.107	Glycerophospholipid Metabolism	NaN
DAGK181	2.7.1.107	Glycerophospholipid Metabolism	NaN
DAPAL	4.3.1.15	Alternate Carbon Metabolism	NaN
DAPDC	4.1.1.20	Threonine and Lysine Metabolism	NaN
DAPE	5.1.1.7	Threonine and Lysine Metabolism	NaN
DASYN120	2.7.7.41	Glycerophospholipid Metabolism	NaN
DASYN140	2.7.7.41	Glycerophospholipid Metabolism	NaN
DASYN141	2.7.7.41	Glycerophospholipid Metabolism	NaN
DASYN160	2.7.7.41	Glycerophospholipid Metabolism	NaN
DASYN161	2.7.7.41	Glycerophospholipid Metabolism	NaN
DASYN180	2.7.7.41	Glycerophospholipid Metabolism	NaN
DASYN181	2.7.7.41	Glycerophospholipid Metabolism	NaN
DBTS	6.3.3.3	Cofactor and Prosthetic Group Biosynthesis	1
DCTPD	3.5.4.13	Nucleotide Salvage Pathway	NaN
DCYTD	3.5.4.14	Nucleotide Salvage Pathway	NaN
DDGALK	2.7.1.58	Alternate Carbon Metabolism	NaN
DDGLK	2.7.1.45	Alternate Carbon Metabolism	NaN
DDPA	2.5.1.54	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
DDPGALA	4.1.2.21	Alternate Carbon Metabolism	NaN
DGK1	2.7.4.8	Nucleotide Salvage Pathway	NaN
DHAD1	4.2.1.9	Valine, Leucine, and Isoleucine Metabolism	NaN
DHBD	1.3.1.28	Cofactor and Prosthetic Group Biosynthesis	NaN
DHBS	2.7.7.58	Cofactor and Prosthetic Group Biosynthesis	NaN
DHDPRy	1.3.1.26	Threonine and Lysine Metabolism	NaN
DHDPS	4.2.1.52	Threonine and Lysine Metabolism	NaN
DHFR	1.5.1.3	Cofactor and Prosthetic Group Biosynthesis	NaN
DHFS	6.3.2.12	Cofactor and Prosthetic Group Biosynthesis	NaN
DHNPA2r	4.1.2.25	Cofactor and Prosthetic Group Biosynthesis	NaN
DHORD2	1.3.5.2	Purine and Pyrimidine Biosynthesis	NaN
DHORD5	1.3.5.2	Purine and Pyrimidine Biosynthesis	NaN
DHORTS	3.5.2.3	Purine and Pyrimidine Biosynthesis	NaN
DHPPDA2	3.5.4.26	Cofactor and Prosthetic Group Biosynthesis	NaN
DHPS2	2.5.1.15	Cofactor and Prosthetic Group Biosynthesis	NaN
DHQS	4.2.3.4	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
DHQTi	4.2.1.10	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
DMATT	2.5.1.1	Cofactor and Prosthetic Group Biosynthesis	NaN
DPCOAK	2.7.1.24	Cofactor and Prosthetic Group Biosynthesis	NaN
DPR	1.1.1.169	Cofactor and Prosthetic Group Biosynthesis	NaN
DRPA	4.1.2.4	Alternate Carbon Metabolism	NaN
DTARTD	4.2.1.81	Alternate Carbon Metabolism	NaN
DTMPK	2.7.4.9	Nucleotide Salvage Pathway	NaN
DURADx	1.3.1.1	Nucleotide Salvage Pathway	NaN
DUTPDP	3.6.1.23	Nucleotide Salvage Pathway	NaN
DXPRIi	1.1.1.267	Cofactor and Prosthetic Group Biosynthesis	NaN
E4PD	1.2.1.72	Cofactor and Prosthetic Group Biosynthesis	NaN
EAR100x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR100y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR120x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR120y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR121x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR121y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR140x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR140y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR141x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR141y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR160x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR160y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR161x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR161y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR180x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR180y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR181x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR181y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR40x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR40y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR60x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR60y	1.3.1.10	Cell Envelope Biosynthesis	NaN
EAR80x	1.3.1.9	Cell Envelope Biosynthesis	NaN
EAR80y	1.3.1.10	Cell Envelope Biosynthesis	NaN
ECOAH1	4.2.1.17	Membrane Lipid Metabolism	NaN
ECOAH2	4.2.1.17	Membrane Lipid Metabolism	NaN
ECOAH3	4.2.1.17	Membrane Lipid Metabolism	NaN
ECOAH4	4.2.1.17	Membrane Lipid Metabolism	NaN
ECOAH5	4.2.1.17	Membrane Lipid Metabolism	NaN
ECOAH6	4.2.1.17	Membrane Lipid Metabolism	NaN
ECOAH7	4.2.1.17	Membrane Lipid Metabolism	NaN
ECOAH8	4.2.1.17	Membrane Lipid Metabolism	NaN
EDA	4.1.2.14	Pentose Phosphate Pathway	NaN
EDD	4.2.1.12	Pentose Phosphate Pathway	NaN
EGMEACPR	1.3.1.10	Cofactor and Prosthetic Group Biosynthesis	NaN
ENO	4.2.1.11	Glycolysis/Gluconeogenesis	NaN
EPMEACPR	1.3.1.10	Cofactor and Prosthetic Group Biosynthesis	NaN
ETHAAL	4.3.1.7	Cell Envelope Biosynthesis	NaN
FA100ACPHi	3.1.2.14	Cell Envelope Biosynthesis	NaN
FA120ACPHi	3.1.2.14	Cell Envelope Biosynthesis	NaN
FA140ACPHi	3.1.2.14	Cell Envelope Biosynthesis	NaN
FA141ACPHi	3.1.2.14	Cell Envelope Biosynthesis	NaN
FA160ACPHi	3.1.2.14	Cell Envelope Biosynthesis	NaN
FA161ACPHi	3.1.2.14	Cell Envelope Biosynthesis	NaN
FA80ACPHi	3.1.2.14	Cell Envelope Biosynthesis	NaN
FACOAL100t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL120t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL140t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL141t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL160t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL161t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL180t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL181t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL60t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FACOAL80t2pp	6.2.1.3	Cell Envelope Biosynthesis	NaN
FALDH2	1.1.1.284		NaN
FBA	4.1.2.13	Glycolysis/Gluconeogenesis	NaN
FBA3	4.1.2.13	Pentose Phosphate Pathway	NaN
FBP	3.1.3.11	Glycolysis/Gluconeogenesis	NaN
FCI	5.3.1.25	Alternate Carbon Metabolism	NaN
FCLK	2.7.1.51	Alternate Carbon Metabolism	NaN
FCLPA	4.1.2.17	Alternate Carbon Metabolism	NaN
FCLT	4.99.1.1	Cofactor and Prosthetic Group Biosynthesis	NaN
FDH4pp	1.2.2.1	Oxidative Phosphorylation	NaN
FDH5pp	1.2.2.1	Oxidative Phosphorylation	NaN
FEROpp	1.16.3.1	Inorganic Ion Transport and Metabolism	NaN
FFSD	3.2.1.26	Alternate Carbon Metabolism	NaN
FLDR2	1.18.1.2	Unassigned	NaN
FLVR	1.5.1.30	Cofactor and Prosthetic Group Biosynthesis	NaN
FLVRx	1.5.1.30	Cofactor and Prosthetic Group Biosynthesis	NaN
FMETTRS	2.1.2.9	tRNA Charging	NaN
FMNAT	2.7.7.2	Cofactor and Prosthetic Group Biosynthesis	NaN
FMNRx	1.5.1.39	Cofactor and Prosthetic Group Biosynthesis	NaN
FMNRx2	1.5.1.39	Cofactor and Prosthetic Group Biosynthesis	NaN
FOMETRi	2.1.2.10	Folate Metabolism	NaN
FRD2	1.3.5.4	Citric Acid Cycle	NaN
FRD3	1.3.5.4	Citric Acid Cycle	NaN
FRUK	2.7.1.56	Alternate Carbon Metabolism	NaN
FTHFD	3.5.1.10	Folate Metabolism	NaN
FTHFLi	6.3.4.3	Folate Metabolism	NaN
FUM	4.2.1.2	Citric Acid Cycle	NaN
G1PACT	2.3.1.157	Cell Envelope Biosynthesis	NaN
G1PPpp	3.1.3.10	Glycolysis/Gluconeogenesis	NaN
G1PTT	2.7.7.24	Cell Envelope Biosynthesis	NaN
G1SAT	5.4.3.8	Cofactor and Prosthetic Group Biosynthesis	NaN
G3PAT120	2.3.1.15	Glycerophospholipid Metabolism	NaN
G3PAT140	2.3.1.15	Glycerophospholipid Metabolism	NaN
G3PAT141	2.3.1.15	Glycerophospholipid Metabolism	NaN
G3PAT160	2.3.1.15	Glycerophospholipid Metabolism	NaN
G3PAT161	2.3.1.15	Glycerophospholipid Metabolism	NaN
G3PAT180	2.3.1.15	Glycerophospholipid Metabolism	NaN
G3PAT181	2.3.1.15	Glycerophospholipid Metabolism	NaN
G3PD2	1.1.1.94	Alternate Carbon Metabolism	NaN
G3PD5	1.1.5.3	Oxidative Phosphorylation	NaN
G3PD6	1.1.5.3	Oxidative Phosphorylation	NaN
G3PD7	1.1.5.3	Oxidative Phosphorylation	NaN
G5SD	1.2.1.41	Arginine and Proline Metabolism	NaN
G6PDA	3.5.99.6	Alternate Carbon Metabolism	NaN
G6PDH2r	1.1.1.49	Pentose Phosphate Pathway	NaN
G6PP	3.1.3.9	Glycolysis/Gluconeogenesis	NaN
GAL1PPpp	3.1.3.10	Alternate Carbon Metabolism	NaN
GALCTD	4.2.1.42	Alternate Carbon Metabolism	NaN
GALCTND	4.2.1.6	Alternate Carbon Metabolism	NaN
GALKr	2.7.1.6	Alternate Carbon Metabolism	NaN
GALM2pp	5.1.3.3	Alternate Carbon Metabolism	NaN
GALS3	3.2.1.22	Alternate Carbon Metabolism	NaN
GALUi	2.7.7.9	Cell Envelope Biosynthesis	NaN
GAPD	1.2.1.12	Glycolysis/Gluconeogenesis	NaN
GARFT	2.1.2.2	Purine and Pyrimidine Biosynthesis	NaN
GCALDD	1.2.1.21	Folate Metabolism	NaN
GDPTPDP	3.1.7.2	Cofactor and Prosthetic Group Biosynthesis	NaN
GF6PTA	2.6.1.16	Cell Envelope Biosynthesis	NaN
GGPTRCS	6.3.1.11	Alternate Carbon Metabolism	NaN
GHMT2r	2.1.2.1	Glycine and Serine Metabolism	NaN
GK1	2.7.4.8	Nucleotide Salvage Pathway	NaN
GLBRAN2	2.4.1.18	Glycolysis/Gluconeogenesis	NaN
GLCATr	2.3.1.79	Alternate Carbon Metabolism	NaN
GLCDpp	1.1.5.2	Oxidative Phosphorylation	NaN
GLCP	2.4.1.1	Glycolysis/Gluconeogenesis	NaN
GLCP2	2.4.1.1	Glycolysis/Gluconeogenesis	NaN
GLCRAL	4.1.2.20	Alternate Carbon Metabolism	NaN
GLCRD	4.2.1.40	Alternate Carbon Metabolism	NaN
GLCS1	2.4.1.21	Glycolysis/Gluconeogenesis	NaN
GLGC	2.7.7.27	Glycolysis/Gluconeogenesis	NaN
