,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GAL_BATCH_mu=0.26_S,GLC_CHEM_mu=0.26_P,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLC_CHEM_mu=0.46_P,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate2_P,GLC_CHEM_mu=0.51_replicate1_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S
PMEACPE,2.1999999999999998e-07,2.4e-07,4e-07,4.1999999999999995e-07,4.1999999999999995e-07,4.3999999999999997e-07,5.2e-07,5.2e-07,6e-07,6.2e-07,6.2e-07,7e-07,7.2e-07,8e-07,8e-07,8.199999999999999e-07,8.399999999999999e-07,8.799999999999999e-07,9.2e-07,9.2e-07,9.399999999999999e-07,9.399999999999999e-07,9.8e-07,1e-06,1.02e-06,1.02e-06,1.1e-06,1.1e-06,1.1e-06,1.16e-06,1.2e-06,1.26e-06,1.3e-06,1.32e-06,1.34e-06,2.0599999999999998e-06
PItex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XTSNH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDPA,0.04091163999999999,0.044630880000000005,0.07438479999999999,0.07810404,0.07810404,0.08182327999999998,0.09670024000000002,0.09670024000000002,0.11157719999999996,0.11529643999999997,0.11529643999999997,0.1301734,0.13389263999999995,0.1487696,0.14876960000000003,0.15248884000000001,0.15620808000000003,0.16364655999999997,0.17108504000000008,0.17108504000000008,0.17480428,0.17480428,0.18224276000000003,0.18596199999999993,0.18968123999999997,0.18968123999999997,0.20455820000000005,0.20455820000000002,0.20455820000000002,0.2157159199999999,0.22315439999999995,0.23431212,0.2417506000000001,0.24546984000000008,0.2491890800000001,0.38308171999999974
DCAtex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Htex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34222068800003,0.0,0.0,0.0,0.0,7.428519526315824,0.0,0.0,14.989135804186066,13.986238005957425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44723487093036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DGULRy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DGULRx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMptspp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805264270729154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THRt2rpp_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.00128752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5CR,0.023627779999999998,0.025775759999999998,0.0429596,0.045107579999999994,0.045107579999999994,0.047255559999999995,0.05584748,0.05584748,0.0644394,0.06658738,0.06658738,0.07517929999999999,0.07732728,0.0859192,0.0859192,0.08806718,0.09021515999999999,0.09451111999999999,0.09880708,0.09880708,0.10095505999999999,0.10095505999999999,0.10525101999999999,0.107399,0.10954698,0.10954698,0.1181389,0.1181389,0.1181389,0.12458283999999999,0.1288788,0.13532274,0.13961869999999998,0.14176668,0.14391466,0.22124194
EX_glyclt_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003746400000000094,0.0003924799999999451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004905999999999799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_dimp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_h_e_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34222068800003,0.0,0.0,0.0,0.0,7.428519526315824,0.0,0.0,14.989135804186066,13.986238005957425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44723487093036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUTRR,0.00058872,0.00064224,0.0010704,0.00112392,0.00112392,0.00117744,0.00139152,0.00139152,0.0016056,0.00165912,0.00165912,0.0018732,0.0019267199999999998,0.0021408,0.0021408,0.00219432,0.00224784,0.00235488,0.0024619200000000003,0.0024619200000000003,0.00251544,0.00251544,0.00262248,0.002676,0.00272952,0.00272952,0.0029436,0.0029436,0.0029436,0.0031041599999999995,0.0032112,0.00337176,0.0034787999999999998,0.0035323200000000003,0.0035858400000000007,0.00551256
GLUTRS,0.00058872,0.00064224,0.0010704,0.00112392,0.00112392,0.00117744,0.00139152,0.00139152,0.0016056,0.00165912,0.00165912,0.0018732,0.0019267199999999998,0.0021408,0.0021408,0.00219432,0.00224784,0.00235488,0.0024619200000000003,0.0024619200000000003,0.00251544,0.00251544,0.00262248,0.002676,0.00272952,0.00272952,0.0029436,0.0029436,0.0029436,0.0031041599999999995,0.0032112,0.00337176,0.0034787999999999998,0.0035323200000000003,0.0035858400000000007,0.00551256
ULA4Ntppi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_peamn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGM4Pt2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_duri_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAS15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBZOPT,2.453000000000871e-05,2.6760000000000672e-05,4.459999999997799e-05,4.682999999999771e-05,4.682999999999771e-05,4.906000000001742e-05,5.798000000001302e-05,5.798000000001302e-05,6.690000000000168e-05,6.913000000002834e-05,6.913000000002834e-05,7.804999999999618e-05,8.027999999998814e-05,8.919999999999761e-05,8.920000000001149e-05,9.143000000000345e-05,9.365999999999541e-05,9.811999999999321e-05,0.00010258000000001877,0.00010258000000001877,0.00010481000000001073,0.00010481000000001073,0.00010927000000005016,0.00011149999999998661,0.0001137299999999699,0.0001137299999999699,0.00012265000000000192,0.00012265000000000192,0.00012265000000000192,0.0001293399999999778,0.00013380000000001724,0.00014048999999999312,0.00014495000000003255,0.0001471800000000245,0.00014941000000001647,0.00022968999999983808
EX_hxa_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5SADs,0.023627779999999998,0.025775759999999998,0.0429596,0.045107579999999994,0.045107579999999994,0.047255559999999995,0.05584748,0.05584748,0.0644394,0.06658738,0.06658738,0.07517929999999999,0.07732728,0.0859192,0.0859192,0.08806718,0.09021515999999999,0.09451111999999999,0.09880708,0.09880708,0.10095505999999999,0.10095505999999999,0.10525101999999999,0.107399,0.10954698,0.10954698,0.1181389,0.1181389,0.1181389,0.12458283999999999,0.1288788,0.13532274,0.13961869999999998,0.14176668,0.14391466,0.22124194
ALAALAtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYStex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORNtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPG141tipp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHAT1,0.00089661,0.00097812,0.0016302,0.0017117099999999982,0.0017117099999999982,0.00179322,0.002119259999999998,0.00211926,0.0024453,0.00252681,0.00252681,0.00285285,0.00293436,0.0032604,0.0032603999999999966,0.0033419100000000035,0.00342342,0.00358644,0.003749459999999996,0.0037494600000000005,0.003830969999999989,0.00383097,0.003993990000000003,0.0040755,0.00415701,0.00415701,0.004483050000000001,0.004483050000000001,0.004483050000000001,0.0047275799999999995,0.004890599999999995,0.005135129999999988,0.005298150000000001,0.0053796600000000005,0.0054611700000000004,0.00839553
OMMBLHX,2.453000000000871e-05,2.6760000000000672e-05,4.459999999997799e-05,4.682999999999771e-05,4.682999999999771e-05,4.906000000001742e-05,5.798000000001302e-05,5.798000000001302e-05,6.690000000000168e-05,6.913000000002834e-05,6.913000000002834e-05,7.804999999999618e-05,8.027999999998814e-05,8.919999999999761e-05,8.920000000001149e-05,9.143000000000345e-05,9.365999999999541e-05,9.811999999999321e-05,0.00010258000000001877,0.00010258000000001877,0.00010481000000001073,0.00010481000000001073,0.00010927000000005016,0.00011149999999998661,0.0001137299999999699,0.0001137299999999699,0.00012265000000000192,0.00012265000000000192,0.00012265000000000192,0.0001293399999999778,0.00013380000000001724,0.00014048999999999312,0.00014495000000003255,0.0001471800000000245,0.00014941000000001647,0.00022968999999983808
OMPHHX,2.453000000000871e-05,2.6760000000000672e-05,4.459999999997799e-05,4.682999999999771e-05,4.682999999999771e-05,4.906000000001742e-05,5.798000000001302e-05,5.798000000001302e-05,6.690000000000168e-05,6.913000000002834e-05,6.913000000002834e-05,7.804999999999618e-05,8.027999999998814e-05,8.919999999999761e-05,8.920000000001149e-05,9.143000000000345e-05,9.365999999999541e-05,9.811999999999321e-05,0.00010258000000001877,0.00010258000000001877,0.00010481000000001073,0.00010481000000001073,0.00010927000000005016,0.00011149999999998661,0.0001137299999999699,0.0001137299999999699,0.00012265000000000192,0.00012265000000000192,0.00012265000000000192,0.0001293399999999778,0.00013380000000001724,0.00014048999999999312,0.00014495000000003255,0.0001471800000000245,0.00014941000000001647,0.00022968999999983808
PANTS,6.335999999995678e-05,6.911999999992258e-05,0.00011519999999998198,0.0001209600000000588,0.0001209600000000588,0.00012671999999991357,0.0001497600000001098,0.00014975999999988776,0.00017280000000032686,0.00017855999999993877,0.00017855999999993877,0.00020160000000002398,0.00020735999999987875,0.00023040000000040806,0.00023039999999974192,0.00023615999999981874,0.0002419200000001176,0.00025343999999982714,0.0002649600000002028,0.00026495999999998077,0.0002707200000002796,0.00027071999999983554,0.00028223999999998917,0.000288000000000066,0.00029375999999992075,0.00029375999999992075,0.000316800000000228,0.00031679999999933983,0.000316800000000228,0.00033408000000045845,0.000345600000000168,0.00036287999999995435,0.00037440000000099616,0.0003801599999997407,0.0003859200000002616,0.0005932799999999183
E4PD,2.453e-05,2.6759999999999998e-05,4.46e-05,4.683e-05,4.683e-05,4.906e-05,5.7980000000000004e-05,5.7980000000000004e-05,6.69e-05,6.913e-05,6.913e-05,7.805e-05,8.028e-05,8.92e-05,8.92e-05,9.143e-05,9.366e-05,9.812e-05,0.00010258000000000001,0.00010258000000000001,0.00010481,0.00010481,0.00010927,0.0001115,0.00011373,0.00011373,0.00012265,0.00012265,0.00012265,0.00012933999999999998,0.0001338,0.00014049,0.00014495,0.00014718,0.00014941000000000002,0.00022969
PLIPA2A180pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCYSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ppal_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_pydam_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TREHpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGM_reverse,1.9067985558749965,2.051507488500001,3.2091791025000003,3.353887994625001,3.353887994625001,3.498597111749999,4.147170082168419,4.077432891749999,0.0,4.800977748375,4.800977748375,5.379813429375008,5.524522384499999,0.0,6.1033582049999975,6.248067160124999,0.0,0.0,6.9683249597499985,6.971611935750001,6.315783217129631,7.116320890874994,7.405738801125001,7.550447756249996,7.695156711375,7.695156711375,8.273992531875004,8.447089425000007,0.0,8.708119397249996,8.9975373075,9.431664172875,9.721082083124994,9.865791038249984,10.010499993374989,15.22002237787501
EX_pi_e_reverse,0.10198605999998156,0.11125752000000572,0.1854292000000024,0.19470066000000985,0.19470066000000985,0.20397211999999476,0.24105795999997626,0.2410579599999867,0.2781438000000091,0.2874152599999975,0.2874152599999975,0.32450110000005106,0.33377256000000277,0.37085840000003256,0.37085839999998615,0.3801298599999974,0.3894013200000057,0.40794424000001084,0.4264871599999971,0.4264871600000091,0.4357586199999708,0.43575861999997545,0.4543015400000072,0.4635729999999809,0.472844459999997,0.472844459999997,0.5099303000000082,0.5099303000000623,0.5099303000000474,0.5377446799999732,0.5562875999999872,0.5841019800000122,0.6026448999999632,0.6119163599998965,0.6211878199999021,0.9549603800000486
42A12BOOXpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD1f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLS,0.09344917999999997,0.10194455999999992,0.1699076,0.17840298000000004,0.17840298000000004,0.18689835999999993,0.2208798800000001,0.2208798799999999,0.2548614000000003,0.26335677999999996,0.26335677999999996,0.2973383,0.3058336799999999,0.33981520000000043,0.33981519999999976,0.3483105799999998,0.3568059600000001,0.37379671999999986,0.3907874800000002,0.39078747999999996,0.39928286000000024,0.3992828599999998,0.41627362,0.42476900000000006,0.4332643799999999,0.4332643799999999,0.46724590000000027,0.4672458999999994,0.46724590000000027,0.4927320400000004,0.5097228000000001,0.53520894,0.552199700000001,0.5606950799999998,0.5691904600000003,0.8750241399999998
GALCTNtex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDONt2rpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HACD6_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_o16a4colipa_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_urea_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LPLIPAL2ATG120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
