reaction,minimum,maximum
PE161abcpp,3.861e-06,3.861000000020049e-06
PPBNGS,3.221111111111111e-07,3.22111111108896e-07
TMPPP,3.1591666666666667e-08,3.1591666666666667e-08
DHFS,9.477499999999756e-08,9.477497467366015e-08
MPTSS,8.54e-08,8.539989372609317e-08
OGMEACPD,2.8333333333333334e-10,2.833333333317312e-10
ADK1,0.0004739516527790882,0.0004739516527776415
OGMEACPR,3.666666666666667e-10,3.666665934861266e-10
OGMEACPS,2.8333333333333334e-10,2.833333333317312e-10
UAAGDS,3.936633333333333e-06,3.936633333330411e-06
IPMD,7.8842925e-05,7.884292500003736e-05
DHDPRy,4.224696944444444e-05,4.2246969444446474e-05
ASAD_reverse,0.00013957381111111112,0.00013957381111091868
PGCD,0.00022431696527770216,0.00022431696528634162
UHGADA,7.025777777777778e-06,7.025777777775347e-06
CYTK1,2.5628208333306497e-05,2.5628208333256292e-05
AGPAT160,7.267705555555555e-06,7.267705555555555e-06
AGPAT161,8.566038888888889e-06,8.566038888888889e-06
KDOPS,7.025777777777778e-06,7.025777777774728e-06
ENO,0.0021416877465254883,0.002141687746527815
G1SAT,5.054666666666667e-07,5.054666668916719e-07
FADRx,0.0003096677500011288,0.0003096677499999999
G5SD,3.008804166665571e-05,3.0088041666613374e-05
PUNP1_reverse,9.160277689564585e-08,9.16027778566596e-08
OHPBAT,3.097222222222222e-08,3.097222229525023e-08
NI2tpp,5.652499995343089e-08,5.652500042772884e-08
ASPTA_reverse,0.0005367411500000091,0.000536741150000121
SDPTA_reverse,5.667276388888889e-05,5.667276388870139e-05
I4FE4SR,3.538888888888881e-08,3.538888888894655e-08
FACOAE120,1.1025066666543952e-05,1.1025066666697953e-05
BTS5,3.5e-10,3.4999993015944664e-10
ATPPRT,1.657915e-05,1.6579150000009536e-05
UDCPDPS,8.40277777777799e-09,8.402776091062326e-09
HSK,7.105042222222222e-05,7.105042222222884e-05
OCTDPS,4.088333333333581e-08,4.088333333334755e-08
PRATPP,1.2105411111111112e-05,1.2105411111107535e-05
FBA3,0.00022275333048586146,0.00022275333048630373
ANPRT,4.894813888888888e-06,4.8948138888906514e-06
GARFT,4.457850000009338e-05,4.457849998717845e-05
PPCDC,8.159999999997798e-08,8.15999836647132e-08
DHORTS_reverse,4.5024874999999995e-05,4.502487499992362e-05
PDX5POi,0.0,4.026384237281153e-08
GND,0.0007643657251736165,0.0007643657251733907
ILETA_reverse,3.7930174999999996e-05,3.793017500000791e-05
ACOAD4f_reverse,6.227899999988252e-05,6.227900000042238e-05
DASYN160,1.0281144444444443e-05,1.0281144444369838e-05
DASYN161,1.211781111111111e-05,1.2117811111139198e-05
K2L4Aabcpp,3.566933333333334e-06,3.566933333333109e-06
PSSA161,1.149102777777778e-05,1.149102777777778e-05
DPCOAK,1.0400000000003e-07,1.0400000000003e-07
CHORS,5.399185833333332e-05,5.3991858333344794e-05
HCO3E,7.303402777777249e-05,7.303402777803404e-05
DMATT,3.9383333333327846e-08,3.9383333334040704e-08
ICDHyr,0.0008645890427176726,0.0008645890427081757
PRMICI,1.2105411111111112e-05,1.2105411110871798e-05
TRPAS2_reverse,9.947524999940787e-06,9.947525000409345e-06
PFK,0.0010684570111803952,0.001068457011171995
PGK_reverse,0.002334466359653001,0.0023344663596530507
ACODA,3.779564444444445e-05,3.779564444444445e-05
HMBS,8.052777777777778e-08,8.0527777777224e-08
GTPCI,9.10583333333443e-08,9.10583333333489e-08
PPPGO3,4.026388899541766e-08,4.026388888623802e-08
DHAD1,9.714099999999988e-05,9.714100000001564e-05
DHAD2,3.2281e-05,3.2280999999995024e-05
KARA1_reverse,0.00015299707500000025,0.00015299707500041702
VALTA_reverse,5.524615000027046e-05,5.524614999963683e-05
PPNDH,3.2421375000000006e-05,3.242137500000788e-05
PGL,0.0005903100305208299,0.0005903100305215656
PGI,0.0009553046380511695,0.0009553046380496806
G3PD2_reverse,2.510227777777778e-05,2.510227777781528e-05
PRAIi,9.947525e-06,9.94752500000244e-06
5DOAN,3.1875e-08,3.1875e-08
PRAIS,8.093186111110972e-05,8.093186111111224e-05
MPTAT,4.405555555555556e-08,4.405554968838255e-08
PSSA160,9.749361111111112e-06,9.749361111111112e-06
MTHFR2,1.500712499999997e-05,1.500712499999997e-05
AIRC3_reverse,5.10239305555572e-05,5.102393055525999e-05
IGPS,9.947525e-06,9.94752500000244e-06
KARA2,5.0842575e-05,5.084257500049026e-05
ACOAD3f_reverse,6.227899999996642e-05,6.227900000038488e-05
AOXSr2,3.5e-10,3.4999993014578446e-10
ADSS,5.4823450000001e-05,5.4823450000032564e-05
SHSL1,2.180405833333333e-05,2.180405833333333e-05
ADSK,3.78693333333334e-05,3.786933333333243e-05
AIRC2,6.346879166666473e-05,6.346879166667289e-05
DB4PS,1.2636666666656224e-07,1.263666413868562e-07
TMDS,4.7971e-06,4.7971e-06
HISTD,1.2894894444444445e-05,1.2894894444441006e-05
ASP1DC,7.519999999989264e-08,7.519999999989264e-08
PRASCSi,6.097981944444229e-05,6.097981944443959e-05
ACOAD6f_reverse,4.865979999995337e-05,4.865980000058619e-05
UAPGR,3.627877777777791e-06,3.6278777777747846e-06
CTECOAI7_reverse,2.7578466666727192e-05,2.7578466666550047e-05
HISTP,1.657915e-05,1.6579150000002936e-05
DHQS,6.88131527777778e-05,6.88131527777778e-05
ACGS,4.190386666666667e-05,4.190386666666632e-05
ACGK,4.0260577777777774e-05,4.02605777777632e-05
GK1,3.452643333333323e-05,3.452643333324256e-05
FACOAE161,2.131063333324633e-05,2.131063333330873e-05
GCALDD,1.2264999999999278e-07,1.2265000000000395e-07
NADK,7.201666666660038e-08,7.201666670808395e-08
HSST,2.180405833333333e-05,2.180405833333333e-05
3OAR140,1.4267733333333332e-05,1.4267733333262415e-05
DXPRIi,3.649861111111134e-07,3.6498611111114424e-07
PMPK,4.088333333333334e-08,4.088333333333334e-08
IPPS,7.8842925e-05,7.884292500004875e-05
PSERT,0.00023863506944433235,0.00023863506943757037
AICART,4.673706388888538e-05,4.673706388888739e-05
NNDPR,3.227166666667595e-07,3.227166020566929e-07
PTPATi,1.0400000000003e-07,1.0400000000003e-07
AHCYSNS,6.346666666667436e-08,6.34666666705293e-08
SERAT,3.7869333333333395e-05,3.786933333305442e-05
CHRPL,4.088333333333725e-08,4.088333333334773e-08
AGPR_reverse,2.547097777777778e-05,2.5470977777738806e-05
MTHFC,0.00012634168333362092,0.00012634168333654767
MTHFD,0.0001263416833334731,0.00012634168332916317
OMPDC,3.7673875e-05,3.767387499999275e-05
ACOAD1f_reverse,6.227899999996428e-05,6.227900000077961e-05
ADCL,7.80499999999975e-08,7.804999999999618e-08
UAMAGS,5.0944666666666675e-06,5.0944666666666675e-06
DHPS2,1.207916666666321e-07,1.2079164539218115e-07
G1PACT,1.0761133333333333e-05,1.0761133333332067e-05
THDPS,5.152069444444444e-05,5.152069444444051e-05
PPNCL2,8.159999999997798e-08,8.15999836647132e-08
DHPPDA2,6.070555555550782e-08,6.070554340986301e-08
APRAUR,6.070555555550782e-08,6.070554340986301e-08
MDH,0.0006687724054828706,0.0006688027582626355
GTPCII2,5.698888888890953e-08,5.6988818582279436e-08
HSTPT,1.7105472222222222e-05,1.7105472222215503e-05
MEPCT,4.3798333333333915e-07,4.379833333334471e-07
ACOAD7f_reverse,2.2334899999798293e-05,2.23349000006237e-05
PRAMPC,1.2105411111111112e-05,1.2105411111107535e-05
RHCCE,6.222222222224301e-08,6.222222226224133e-08
MECDPS,4.3798333333333915e-07,4.379833333334471e-07
IMPD,3.1818477777777796e-05,3.181847777781392e-05
PGAMT_reverse,1.5223066666666673e-05,1.5223066666619297e-05
DALAt2pp,2.1226944444642513e-06,2.1226944444444447e-06
DAPDC,4.6708024999999996e-05,4.670802500000572e-05
DAPE,3.606448611111111e-05,3.60644861109986e-05
FMNAT,3.406944444444498e-08,3.406943762518886e-08
IGPDH,1.657915e-05,1.6579150000002936e-05
PPND,1.1893580555555555e-05,1.1893580555553863e-05
SHCHD2,3.5927777777777774e-08,3.5927770589725886e-08
GHMT2r,0.00015182929027776417,0.00015182929028201525
MOAT2,2.972444444444445e-06,2.972444444442454e-06
IPDPS,3.2251388948409867e-07,3.6498567882308545e-07
GAPD,0.002609605097570101,0.002609605097568973
FACOAE160,1.8080633333333334e-05,1.8080633333333334e-05
GRTT,3.9383333333327846e-08,3.9383333334040704e-08
PNTK,8.159999999997798e-08,8.15999836647132e-08
ARGSL,3.2865777777777775e-05,3.286577777760409e-05
UAMAS,3.5506888888888845e-06,3.5506888888872963e-06
ARGSS,2.8757555555555555e-05,2.8757555555537865e-05
UGMDDS,3.936633333333333e-06,3.936633333333333e-06
PPC,0.00038636062777775695,0.0003863606277778257
PRAGSr,5.1049327777779425e-05,5.104932777780528e-05
TPI,0.0020557514014156236,0.002055751401414634
BPNT,3.511519999999997e-05,3.511519999999934e-05
LPADSS,3.4048e-06,3.404800000002976e-06
NADS1,3.227166666666053e-07,3.2271666668954993e-07
IMPC_reverse,4.6737063888889686e-05,4.6737063888922036e-05
ICYSDS,2.4568055567197804e-07,2.4568050749346276e-07
PSD160,9.040316666666667e-06,9.040316666664548e-06
PSD161,1.0655316666666666e-05,1.0655316666666666e-05
MOAT,2.972444444444445e-06,2.972444444442454e-06
CPPPGO,2.7255555555555556e-08,2.7255555554936874e-08
GF6PTA,1.3385800000000007e-05,1.3385799999978614e-05
CDPMEK,3.649861111105587e-07,3.6498611111114424e-07
